Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95
1/1/96,1,2.9,2.8,3.7,2.8,4.1,2.6,4.2,1,1.6,1.5,2.3,1.5,2.3,1.5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2,7.5,9.6,7,10.1,6.7,10.4,0,0,0,0,0,0,0,0,1,4.9,3.9,5.4,3.7,5.7,3.7,5.9
1/1/97,0,0,0,0,0,0,0,0,2,10.6,9.8,14.4,9.2,15,8.9,15.3,0,0,0,0,0,0,0,0,1,1.5,1.4,1.7,1.4,1.7,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/98,1,5.5,4.7,5.8,4.5,6.1,4.4,6.2,1,1.5,1.2,1.9,1.2,2,1.1,2,1,3.9,3.1,4.7,3,4.8,3,4.8,3,5.9,5.3,6.3,5,6.6,5,6.9,3,11.9,10.3,13.5,9.6,14.4,9.5,14.7,0,0,0,0,0,0,0,0,1,2.2,1.7,2.2,1.7,2.3,1.6,2.5
1/1/99,1,3.8,3.5,4.1,3.4,4.1,3.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,2.6,3.4,2.6,3.5,2.4,3.5,1,9.9,8.7,10.7,8.4,11.2,8.1,11.5,0,0,0,0,0,0,0,0,2,2.9,2.7,3.3,2.6,3.7,2.5,3.9
1/1/00,1,7.4,7,8,6.7,8.3,6.6,8.5,1,1.3,0.7,1.5,1,1.6,0.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1.5,1.8,1.5,1.8,1.3,1.9,0,0,0,0,0,0,0,0
1/1/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,4.2,4.8,4.2,4.9,4,5,1,12.3,10.4,13.1,9.9,13.8,9.6,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/02,1,12.8,12.8,14.1,12.5,14.3,12.4,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.7,3,2.7,3.1,2.6,3.1,1,1.6,1.6,1.8,1.4,2,1.4,2,1,1.9,1.4,1.7,1.4,1.7,1.3,1.8,0,0,0,0,0,0,0,0
1/1/03,1,6.9,6.4,7.1,6.3,7.2,6.1,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.1,10.8,12.9,10.6,13.4,10.4,13.5,1,7.6,6.5,7.9,6.3,8.3,6.3,8.5,1,5.4,4.6,5.7,4.4,6,4.3,6.1,0,0,0,0,0,0,0,0
1/1/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1.2,1.4,1.2,1.5,1.2,1.5,4,73.2,65.5,78.2,63.6,80.9,62.7,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/05,1,1.9,2,2.2,1.8,2.2,1.8,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.1,1.3,1.1,1.5,4,217.8,182.9,238,173.6,251.6,167.9,260.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
